"filename", "language", "Markdown", "HTML", "JavaScript", "JSON", "XML", "Vue", "CSS", "Less", "comment", "blank", "total"
"d:\git\newbee-mall-vue3-app\src\views\Login.vue", "Vue", 0, 0, 0, 0, 0, 188, 0, 0, 12, 6, 206
"d:\git\newbee-mall-vue3-app\src\views\LoginNew.vue", "Vue", 0, 0, 0, 0, 0, 374, 0, 0, 10, 43, 427
"d:\git\newbee-mall-vue3-app\src\views\Order.vue", "Vue", 0, 0, 0, 0, 0, 153, 0, 0, 10, 11, 174
"d:\git\newbee-mall-vue3-app\src\views\OrderDetail.vue", "Vue", 0, 0, 0, 0, 0, 154, 0, 0, 11, 13, 178
"d:\git\newbee-mall-vue3-app\src\views\ProductDetail-done.vue", "Vue", 0, 0, 0, 0, 0, 219, 0, 0, 33, 11, 263
"d:\git\newbee-mall-vue3-app\src\views\ProductDetail.vue", "Vue", 0, 0, 0, 0, 0, 174, 0, 0, 12, 12, 198
"d:\git\newbee-mall-vue3-app\src\views\ProductList.vue", "Vue", 0, 0, 0, 0, 0, 229, 0, 0, 10, 11, 250
"d:\git\newbee-mall-vue3-app\src\views\Setting.vue", "Vue", 0, 0, 0, 0, 0, 56, 0, 0, 9, 7, 72
"d:\git\newbee-mall-vue3-app\src\views\User.vue", "Vue", 0, 0, 0, 0, 0, 141, 0, 0, 9, 7, 157
"d:\git\newbee-mall-vue3-app\vite.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"Total", "-", 98, 14, 4602, 6195, 8, 4077, 66, 103, 574, 405, 16142
